SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude,Lon_Lat,YEAR
210284657,2020-02-29,OTHER TRAFFIC REG,9999,ABC,OTHER ABC,UNKNOWN,,,0,MANHATTAN,7,988082.0,200814.0,40.71787216,-73.98617781,POINT (-73.98617781 40.71787216),2020
224387005,2021-02-15,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,QUEENS,106,984166.0,188346.0,40.68365124,-74.00030431,POINT (-74.00030431199998 40.683651241000064),2021
142258250,2015-04-18,URINATING IN PUBLIC,16-1186,Administrative Code,URINATING,25-44,M,UNKNOWN,0,BROOKLYN,90,1004203.0,197124.0,40.70772232,-73.92803355,POINT (-73.92803354999995 40.70772232300004),2015
141295221,2015-03-06,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,18-24,M,UNKNOWN,0,BROOKLYN,90,993961.0,199651.0,40.71467551,-73.96497147,POINT (-73.96497147299993 40.71467550500005),2015
284902651,2024-04-06,TRESPASS,140.05,Penal Law,TRESPASS,25-44,M,WHITE HISPANIC,2,MANHATTAN,23,999638.0,229901.0,40.797689,-73.944419,POINT (-73.944419 40.797689),2024
285618960,2024-04-19,SPITTING IN PUBLIC,181.03,Health Code,SPITTING,25-44,M,BLACK,0,MANHATTAN,28,998948.0,233793.0,40.808372,-73.946904,POINT (-73.946904 40.808372),2024
163250689,2017-03-24,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,25-44,M,,0,MANHATTAN,1,982611.0,202413.0,40.72226171,-74.0059144,POINT (-74.00591439799997 40.72226170900007),2017
147271035,2015-10-25,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,25-44,M,,0,BROOKLYN,75,1014423.0,186992.0,40.6798834,-73.89121674,POINT (-73.89121674399996 40.679883398000065),2015
169320504,2017-09-09,OBSTRUCTED VIEW OF PREMISE,106-9,ABC,ABC,45-64,M,WHITE HISPANIC,0,QUEENS,108,1013025.0,210880.0,40.74545489,-73.89615494,POINT (-73.896154944 40.74545488500007),2017
144262954,2015-07-05,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,25-44,M,,0,BROOKLYN,75,1017596.0,183421.0,40.67007043,-73.8797946,POINT (-73.879794599 40.670070430000074),2015
164072277,2017-04-23,URINATING IN PUBLIC,16-1186,Administrative Code,URINATING,18-24,M,UNKNOWN,0,MANHATTAN,7,988504.0,201212.0,40.71896438,-73.98465523,POINT (-73.98465523199997 40.71896438200002),2017
159448889,2016-12-17,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,45-64,M,ASIAN / PACIFIC ISLANDER,0,BROOKLYN,90,997304.0,199432.0,40.7140701,-73.95291287,POINT (-73.95291287199996 40.71407010200004),2016
